TorneoID,Tournament,Year,Series,Surface
SAP Open_2013,SAP Open,2013,ATP250,Hard
Brasil Open_2013,Brasil Open,2013,ATP250,Clay
Copa Claro_2013,Copa Claro,2013,ATP250,Clay
Open 13_2013,Open 13,2013,ATP250,Hard
U.S. National Indoor Tennis Championships_2013,U.S. National Indoor Tennis Championships,2013,ATP500,Hard
Abierto Mexicano_2013,Abierto Mexicano,2013,ATP500,Clay
International Championships_2013,International Championships,2013,ATP250,Hard
Dubai Tennis Championships_2013,Dubai Tennis Championships,2013,ATP500,Hard
BNP Paribas Open_2013,BNP Paribas Open,2013,MASTERS 1000,Hard
Sony Ericsson Open_2013,Sony Ericsson Open,2013,MASTERS 1000,Hard
Grand Prix Hassan II_2013,Grand Prix Hassan II,2013,ATP250,Clay
U.S. Men's Clay Court Championships_2013,U.S. Men's Clay Court Championships,2013,ATP250,Clay
Monte Carlo Masters_2013,Monte Carlo Masters,2013,MASTERS 1000,Clay
Open Banco Sabadell _2013,Open Banco Sabadell ,2013,ATP500,Clay
BRD Nastase Tiriac Trophy_2013,BRD Nastase Tiriac Trophy,2013,ATP250,Clay
BMW Open_2013,BMW Open,2013,ATP250,Clay
Portugal Open_2013,Portugal Open,2013,ATP250,Clay
Mutua Madrid Open_2013,Mutua Madrid Open,2013,MASTERS 1000,Clay
Internazionali BNL d'Italia_2013,Internazionali BNL d'Italia,2013,MASTERS 1000,Clay
Power Horse Cup_2013,Power Horse Cup,2013,ATP250,Clay
Open de Nice Côte dAzur_2013,Open de Nice Côte dAzur,2013,ATP250,Clay
French Open_2013,French Open,2013,GRAND SLAM,Clay
Gerry Weber Open_2013,Gerry Weber Open,2013,ATP250,Grass
AEGON Championships_2013,AEGON Championships,2013,ATP250,Grass
AEGON International_2013,AEGON International,2013,ATP250,Grass
Topshelf Open_2013,Topshelf Open,2013,ATP250,Grass
Wimbledon_2013,Wimbledon,2013,GRAND SLAM,Grass
SkiStar Swedish Open_2013,SkiStar Swedish Open,2013,ATP250,Clay
Hall of Fame Championships_2013,Hall of Fame Championships,2013,ATP250,Grass
Mercedes Cup_2013,Mercedes Cup,2013,ATP250,Clay
Claro Open Colombia_2013,Claro Open Colombia,2013,ATP250,Clay
German Open Tennis Championships _2013,German Open Tennis Championships ,2013,ATP500,Clay
BB&T Atlanta Open_2013,BB&T Atlanta Open,2013,ATP250,Hard
Crédit Agricole Suisse Open Gstaad_2013,Crédit Agricole Suisse Open Gstaad,2013,ATP250,Clay
ATP Vegeta Croatia Open_2013,ATP Vegeta Croatia Open,2013,ATP250,Clay
Bet-At-Home Cup_2013,Bet-At-Home Cup,2013,ATP250,Clay
Citi Open_2013,Citi Open,2013,ATP500,Hard
Rogers Masters_2013,Rogers Masters,2013,MASTERS 1000,Hard
Western & Southern Financial Group Masters_2013,Western & Southern Financial Group Masters,2013,MASTERS 1000,Hard
Winston-Salem Open at Wake Forest University_2013,Winston-Salem Open at Wake Forest University,2013,ATP250,Hard
US Open_2013,US Open,2013,GRAND SLAM,Hard
Open de Moselle_2013,Open de Moselle,2013,ATP250,Hard
St. Petersburg Open_2013,St. Petersburg Open,2013,ATP250,Hard
Thailand Open_2013,Thailand Open,2013,ATP250,Hard
Malaysian Open_2013,Malaysian Open,2013,ATP250,Hard
Shanghai Masters_2013,Shanghai Masters,2013,MASTERS 1000,Hard
Kremlin Cup_2013,Kremlin Cup,2013,ATP250,Hard
