Finalista,Series,Tournament,Year,WRank,Surface,LRank,Tournament_Year
Roddick A.,ATP500,Legg Mason Classic,2009,0,Hard,5,Legg Mason Classic_2009
Del Potro J.M.,Masters 1000,Rogers Masters,2009,0,Hard,6,Rogers Masters_2009
Djokovic N.,Masters 1000,Western & Southern Financial Group Masters,2009,0,Hard,4,Western & Southern Financial Group Masters_2009
Querrey S.,ATP250,Pilot Pen Tennis,2009,0,Hard,23,Pilot Pen Tennis_2009
Federer R.,Grand Slam,US Open,2009,0,Hard,1,US Open_2009
Monaco J.,ATP250,Open Romania,2009,0,Clay,37,Open Romania_2009
Kohlschreiber P.,ATP250,Open de Moselle,2009,0,Hard,23,Open de Moselle_2009
Troicki V.,ATP250,Thailand Open,2009,0,Hard,32,Thailand Open_2009
Verdasco F.,ATP250,Proton Malaysian Open,2009,0,Hard,9,Proton Malaysian Open_2009
Cilic M.,ATP500,China Open,2009,0,Hard,15,China Open_2009
Youzhny M.,ATP500,Rakuten Japan Open Tennis Championships,2009,0,Hard,49,Rakuten Japan Open Tennis Championships_2009
Nadal R.,Masters 1000,Shanghai Masters,2009,0,Hard,2,Shanghai Masters_2009
Tipsarevic J.,ATP250,Kremlin Cup,2009,0,Hard,46,Kremlin Cup_2009
Rochus O.,ATP250,Stockholm Open,2009,0,Hard,87,Stockholm Open_2009
Llodra M.,ATP250,Grand Prix de Lyon,2009,0,Hard,107,Grand Prix de Lyon_2009
Zeballos H.,ATP250,St. Petersburg Open,2009,0,Hard,54,St. Petersburg Open_2009
Cilic M.,ATP250,BA-CA Tennis Trophy,2009,0,Hard,13,BA-CA Tennis Trophy_2009
Federer R. ,ATP500,Davidoff Swiss Indoors,2009,0,Hard,1,Davidoff Swiss Indoors_2009
Youzhny M. ,ATP500,Valencia Open 530,2009,0,Hard,23,Valencia Open 530_2009
Monfils G.,Masters 1000,BNP Paribas Masters,2009,0,Hard,16,BNP Paribas Masters_2009
Stepanek R.,ATP250,Brisbane International,2010,0,Hard,12,Brisbane International_2010
Wawrinka S.,ATP250,Chennai Open,2010,0,Hard,21,Chennai Open_2010
Nadal R.,ATP250,Qatar Exxon Mobil Open,2010,0,Hard,2,Qatar Exxon Mobil Open_2010
Clement A.,ATP250,Heineken Open,2010,0,Hard,67,Heineken Open_2010
Gasquet R.,ATP250,Medibank International,2010,0,Hard,53,Medibank International_2010
Murray A.,Grand Slam,Australian Open,2010,0,Hard,4,Australian Open_2010
Robert S.,ATP250,SA Tennis Open,2010,0,Hard,100,SA Tennis Open_2010
Monaco J.,ATP250,Movistar Open,2010,0,Clay,29,Movistar Open_2010
Berrer M.,ATP250,PBZ Zagreb Indoors,2010,0,Hard,65,PBZ Zagreb Indoors_2010
Kubot L.,ATP250,Brasil Open,2010,0,Clay,56,Brasil Open_2010
Youzhny M.,ATP500,ABN AMRO World Tennis Tournament,2010,0,Hard,20,ABN AMRO World Tennis Tournament_2010
Roddick A.,ATP250,SAP Open,2010,0,Hard,7,SAP Open_2010
Ferrer D.,ATP250,Copa Telmex,2010,0,Clay,19,Copa Telmex_2010
Benneteau J.,ATP250,Open 13,2010,0,Hard,39,Open 13_2010
Isner J.,ATP500,Regions Morgan Keegan Championships,2010,0,Hard,25,Regions Morgan Keegan Championships_2010
Ferrero J.C.,ATP500,Abierto Mexicano,2010,0,Clay,16,Abierto Mexicano_2010
Karlovic I.,ATP250,International Championships,2010,0,Hard,33,International Championships_2010
Youzhny M.,ATP500,Dubai Tennis Championships,2010,0,Hard,15,Dubai Tennis Championships_2010
Roddick A.,Masters 1000,BNP Paribas Open,2010,0,Hard,8,BNP Paribas Open_2010
Berdych T.,Masters 1000,Sony Ericsson Open,2010,0,Hard,20,Sony Ericsson Open_2010
Hanescu V.,ATP250,Grand Prix Hassan II,2010,0,Clay,43,Grand Prix Hassan II_2010
Querrey S.,ATP250,U.S. Men's Clay Court Championships,2010,0,Clay,25,U.S. Men's Clay Court Championships_2010
Verdasco F.,Masters 1000,Monte Carlo Masters,2010,0,Clay,12,Monte Carlo Masters_2010
Soderling R.,ATP500,Open Banco Sabadell ,2010,0,Clay,8,Open Banco Sabadell _2010
Ferrer D.,Masters 1000,Internazionali BNL d'Italia,2010,0,Clay,17,Internazionali BNL d'Italia_2010
Isner J.,ATP250,Serbia Open,2010,0,Clay,21,Serbia Open_2010
Gil F.,ATP250,Estoril Open,2010,0,Clay,133,Estoril Open_2010
Cilic M.,ATP250,BMW Open,2010,0,Clay,11,BMW Open_2010
Federer R.,Masters 1000,Mutua Madrileña Madrid Open,2010,0,Clay,1,Mutua Madrileña Madrid Open_2010
Verdasco F.,ATP250,Open de Nice Côte dAzur,2010,0,Clay,9,Open de Nice Côte dAzur_2010
Soderling R.,Grand Slam,French Open,2010,0,Clay,7,French Open_2010
Federer R.,ATP250,Gerry Weber Open,2010,0,Grass,1350,Gerry Weber Open_2010
Fish M.,ATP250,AEGON Championships,2010,0,Grass,90,AEGON Championships_2010
Garcia-Lopez G.,ATP250,AEGON International,2010,0,Grass,41,AEGON International_2010
Tipsarevic J.,ATP250,Unicef Open,2010,0,Grass,51,Unicef Open_2010
Berdych T.,Grand Slam,Wimbledon,2010,0,Grass,13,Wimbledon_2010
Rochus O.,ATP250,Hall of Fame Championships,2010,0,Grass,65,Hall of Fame Championships_2010
Soderling R.,ATP250,SkiStar Swedish Open,2010,0,Clay,5,SkiStar Swedish Open_2010
Monfils G.,ATP250,Mercedes Cup,2010,0,Clay,17,Mercedes Cup_2010
Isner J.,ATP250,Atlanta Tennis Championships,2010,0,Hard,19,Atlanta Tennis Championships_2010
Melzer J.,ATP500,German Open Tennis Championships ,2010,0,Clay,15,German Open Tennis Championships _2010
Gasquet R.,ATP250,Allianz Suisse Open,2010,0,Clay,47,Allianz Suisse Open_2010
Murray A.,ATP250,Farmers Classic,2010,0,Hard,4,Farmers Classic_2010
Starace P.,ATP250,Studena Croatia Open,2010,0,Clay,64,Studena Croatia Open_2010
Baghdatis M.,ATP500,Legg Mason Classic,2010,0,Hard,25,Legg Mason Classic_2010
Fish M.,Masters 1000,Western & Southern Financial Group Masters,2010,0,Hard,36,Western & Southern Financial Group Masters_2010
Istomin D.,ATP250,Pilot Pen Tennis,2010,0,Hard,46,Pilot Pen Tennis_2010
Djokovic N.,Grand Slam,US Open,2010,0,Hard,3,US Open_2010
Andujar P.,ATP250,Open Romania,2010,0,Clay,104,Open Romania_2010
Zverev M.,ATP250,Open de Moselle,2010,0,Hard,155,Open de Moselle_2010
Nieminen J.,ATP250,Thailand Open,2010,0,Hard,60,Thailand Open_2010
Golubev A.,ATP250,Proton Malaysian Open,2010,0,Hard,41,Proton Malaysian Open_2010
Ferrer D.,ATP500,China Open,2010,0,Hard,11,China Open_2010
Monfils G.,ATP500,Rakuten Japan Open Tennis Championships,2010,0,Hard,15,Rakuten Japan Open Tennis Championships_2010
Federer R.,Masters 1000,Shanghai Masters,2010,0,Hard,3,Shanghai Masters_2010
Baghdatis M.,ATP250,Kremlin Cup,2010,0,Hard,19,Kremlin Cup_2010
Mayer F.,ATP250,Stockholm Open,2010,0,Hard,47,Stockholm Open_2010
Ljubicic I.,ATP250,Open Sud de France,2010,0,Hard,17,Open Sud de France_2010
Youzhny M.,ATP250,St. Petersburg Open,2010,0,Hard,10,St. Petersburg Open_2010
Haider-Maurer A.,ATP250,BA-CA Tennis Trophy,2010,0,Hard,157,BA-CA Tennis Trophy_2010
Djokovic N.,ATP500,Swiss Indoors,2010,0,Hard,3,Swiss Indoors_2010
Granollers M.,ATP500,Valencia Open 530,2010,0,Hard,67,Valencia Open 530_2010
Monfils G.,Masters 1000,BNP Paribas Masters,2010,0,Hard,14,BNP Paribas Masters_2010
Roddick A.,ATP250,Brisbane International,2011,0,Hard,8,Brisbane International_2011
Malisse X.,ATP250,Chennai Open,2011,0,Hard,60,Chennai Open_2011
Davydenko N.,ATP250,Qatar Exxon Mobil Open,2011,0,Hard,22,Qatar Exxon Mobil Open_2011
Nalbandian D.,ATP250,Heineken Open,2011,0,Hard,27,Heineken Open_2011
Troicki V.,ATP250,Medibank International,2011,0,Hard,30,Medibank International_2011
Murray A.,Grand Slam,Australian Open,2011,0,Hard,5,Australian Open_2011
Devvarman S.,ATP250,SA Tennis Open,2011,0,Hard,110,SA Tennis Open_2011
Giraldo S.,ATP250,Movistar Open,2011,0,Clay,57,Movistar Open_2011
Berrer M.,ATP250,PBZ Zagreb Indoors,2011,0,Hard,66,PBZ Zagreb Indoors_2011
Dolgopolov O.,ATP250,Brasil Open,2011,0,Clay,32,Brasil Open_2011
Tsonga J.W.,ATP500,ABN AMRO World Tennis Tournament,2011,0,Hard,18,ABN AMRO World Tennis Tournament_2011
Verdasco F.,ATP250,SAP Open,2011,0,Hard,9,SAP Open_2011
Chela J.I.,ATP250,Copa Claro,2011,0,Clay,35,Copa Claro_2011
Cilic M.,ATP250,Open 13,2011,0,Hard,28,Open 13_2011
Raonic M.,ATP500,Regions Morgan Keegan Championships,2011,0,Hard,59,Regions Morgan Keegan Championships_2011
Almagro N.,ATP500,Abierto Mexicano,2011,0,Clay,13,Abierto Mexicano_2011
Tipsarevic J.,ATP250,International Championships,2011,0,Hard,52,International Championships_2011
Federer R.,ATP500,Dubai Tennis Championships,2011,0,Hard,2,Dubai Tennis Championships_2011
Nadal R.,Masters 1000,BNP Paribas Open,2011,0,Hard,1,BNP Paribas Open_2011
Nadal R.,Masters 1000,Sony Ericsson Open,2011,0,Hard,1,Sony Ericsson Open_2011
Starace P.,ATP250,Grand Prix Hassan II,2011,0,Clay,47,Grand Prix Hassan II_2011
Nishikori K.,ATP250,U.S. Men's Clay Court Championships,2011,0,Clay,93,U.S. Men's Clay Court Championships_2011
Ferrer D.,Masters 1000,Monte Carlo Masters,2011,0,Clay,6,Monte Carlo Masters_2011
Ferrer D.,ATP500,Open Banco Sabadell ,2011,0,Clay,6,Open Banco Sabadell _2011
Lopez F.,ATP250,Serbia Open,2011,0,Clay,37,Serbia Open_2011
Verdasco F.,ATP250,Estoril Open,2011,0,Clay,15,Estoril Open_2011
Mayer F.,ATP250,BMW Open,2011,0,Clay,35,BMW Open_2011
Nadal R.,Masters 1000,Mutua Madrileña Madrid Open,2011,0,Clay,1,Mutua Madrileña Madrid Open_2011
Nadal R.,Masters 1000,Internazionali BNL d'Italia,2011,0,Clay,1,Internazionali BNL d'Italia_2011
Hanescu V.,ATP250,Open de Nice Côte dAzur,2011,0,Clay,69,Open de Nice Côte dAzur_2011
Federer R.,Grand Slam,French Open,2011,0,Clay,3,French Open_2011
Petzschner P.,ATP250,Gerry Weber Open,2011,0,Grass,71,Gerry Weber Open_2011
Tsonga J.W.,ATP250,AEGON Championships,2011,0,Grass,19,AEGON Championships_2011
Tipsarevic J.,ATP250,AEGON International,2011,0,Grass,30,AEGON International_2011
Dodig I.,ATP250,Unicef Open,2011,0,Grass,42,Unicef Open_2011
Nadal R.,Grand Slam,Wimbledon,2011,0,Grass,1,Wimbledon_2011
Rochus O.,ATP250,Hall of Fame Championships,2011,0,Grass,74,Hall of Fame Championships_2011
Ferrer D.,ATP250,SkiStar Swedish Open,2011,0,Clay,6,SkiStar Swedish Open_2011
Andujar P.,ATP250,Mercedes Cup,2011,0,Clay,55,Mercedes Cup_2011
Isner J.,ATP250,Atlanta Tennis Championships,2011,0,Hard,35,Atlanta Tennis Championships_2011
Almagro N.,ATP500,German Open Tennis Championships ,2011,0,Clay,14,German Open Tennis Championships _2011
Verdasco F.,ATP250,Allianz Suisse Open,2011,0,Clay,20,Allianz Suisse Open_2011
Fish M.,ATP250,Farmers Classic,2011,0,Hard,9,Farmers Classic_2011
Cilic M.,ATP250,Studena Croatia Open,2011,0,Clay,31,Studena Croatia Open_2011
Montanes A.,ATP250,Bet-At-Home Cup,2011,0,Clay,50,Bet-At-Home Cup_2011
Monfils G.,ATP500,Legg Mason Classic,2011,0,Hard,7,Legg Mason Classic_2011
Fish M.,Masters 1000,Rogers Masters,2011,0,Hard,8,Rogers Masters_2011
Djokovic N.,Masters 1000,Western & Southern Financial Group Masters,2011,0,Hard,1,Western & Southern Financial Group Masters_2011
Benneteau J.,ATP250,Winston-Salem Open at Wake Forest University,2011,0,Hard,113,Winston-Salem Open at Wake Forest University_2011
Nadal R.,Grand Slam,US Open,2011,0,Hard,2,US Open_2011
Andujar P.,ATP250,Open Romania,2011,0,Clay,43,Open Romania_2011
Ljubicic I.,ATP250,Open de Moselle,2011,0,Hard,29,Open de Moselle_2011
Young D.,ATP250,Thailand Open,2011,0,Hard,55,Thailand Open_2011
Baghdatis M.,ATP250,Malaysian Open,2011,0,Hard,60,Malaysian Open_2011
Cilic M.,ATP500,China Open,2011,0,Hard,25,China Open_2011
Nadal R.,ATP500,Rakuten Japan Open Tennis Championships,2011,0,Hard,2,Rakuten Japan Open Tennis Championships_2011
Ferrer D.,Masters 1000,Shanghai Masters,2011,0,Hard,5,Shanghai Masters_2011
Troicki V.,ATP250,Kremlin Cup,2011,0,Hard,16,Kremlin Cup_2011
Nieminen J.,ATP250,Stockholm Open,2011,0,Hard,73,Stockholm Open_2011
Tipsarevic J.,ATP250,St. Petersburg Open,2011,0,Hard,13,St. Petersburg Open_2011
Del Potro J.M.,ATP250,Erste Bank Open,2011,0,Hard,15,Erste Bank Open_2011
Nishikori K.,ATP500,Swiss Indoors,2011,0,Hard,32,Swiss Indoors_2011
Monaco J.,ATP500,Valencia Open 500,2011,0,Hard,41,Valencia Open 500_2011
Tsonga J.W.,Masters 1000,BNP Paribas Masters,2011,0,Hard,8,BNP Paribas Masters_2011
Dolgopolov O.,ATP250,Brisbane International,2012,0,Hard,7380,Brisbane International_2012
Tipsarevic J.,ATP250,Chennai Open,2012,0,Hard,9,Chennai Open_2012
Monfils G.,ATP250,Qatar Exxon Mobil Open,2012,0,Hard,16,Qatar Exxon Mobil Open_2012
Rochus O.,ATP250,Heineken Open,2012,0,Hard,68,Heineken Open_2012
Benneteau J.,ATP250,Apia International,2012,0,Hard,49,Apia International_2012
Nadal R.,Grand Slam,Australian Open,2012,0,Hard,2,Australian Open_2012
Monfils G.,ATP250,Open Sud de France,2012,0,Hard,13,Open Sud de France_2012
Berlocq C.,ATP250,VTR Open ,2012,0,Clay,55,VTR Open _2012
Lacko L.,ATP250,PBZ Zagreb Indoors,2012,0,Hard,97,PBZ Zagreb Indoors_2012
Del Potro J.M.,ATP500,ABN AMRO World Tennis Tournament,2012,0,Hard,10,ABN AMRO World Tennis Tournament_2012
Istomin D.,ATP250,SAP Open,2012,0,Hard,61,SAP Open_2012
Volandri F.,ATP250,Brasil Open,2012,0,Clay,69,Brasil Open_2012
Almagro N.,ATP250,Copa Claro,2012,0,Clay,11,Copa Claro_2012
Llodra M.,ATP250,Open 13,2012,0,Hard,50,Open 13_2012
Raonic M.,ATP500,Regions Morgan Keegan Championships,2012,0,Hard,35,Regions Morgan Keegan Championships_2012
Verdasco F.,ATP500,Abierto Mexicano,2012,0,Clay,27,Abierto Mexicano_2012
Matosevic M.,ATP250,International Championships,2012,0,Hard,173,International Championships_2012
Murray A.,ATP500,Dubai Tennis Championships,2012,0,Hard,4,Dubai Tennis Championships_2012
Isner J.,Masters 1000,BNP Paribas Open,2012,0,Hard,11,BNP Paribas Open_2012
Murray A.,Masters 1000,Sony Ericsson Open,2012,0,Hard,4,Sony Ericsson Open_2012
Ramos A.,ATP250,Grand Prix Hassan II,2012,0,Clay,52,Grand Prix Hassan II_2012
Isner J.,ATP250,U.S. Men's Clay Court Championships,2012,0,Clay,10,U.S. Men's Clay Court Championships_2012
Djokovic N.,Masters 1000,Monte Carlo Masters,2012,0,Clay,1,Monte Carlo Masters_2012
Ferrer D.,ATP500,Open Banco Sabadell ,2012,0,Clay,6,Open Banco Sabadell _2012
Fognini F.,ATP250,BRD Nastase Tiriac Trophy,2012,0,Clay,57,BRD Nastase Tiriac Trophy_2012
Paire B.,ATP250,Serbia Open,2012,0,Clay,96,Serbia Open_2012
Gasquet R.,ATP250,Estoril Open,2012,0,Clay,18,Estoril Open_2012
Cilic M.,ATP250,BMW Open,2012,0,Clay,24,BMW Open_2012
Berdych T.,Masters 1000,Mutua Madrid Open,2012,0,Clay,7,Mutua Madrid Open_2012
Djokovic N.,Masters 1000,Internazionali BNL d'Italia,2012,0,Clay,1,Internazionali BNL d'Italia_2012
Baker B.,ATP250,Open de Nice Côte dAzur,2012,0,Clay,387,Open de Nice Côte dAzur_2012
Djokovic N.,Grand Slam,French Open,2012,0,Clay,1,French Open_2012
Federer R.,ATP250,Gerry Weber Open,2012,0,Grass,3,Gerry Weber Open_2012
Nalbandian D.,ATP250,AEGON Championships,2012,0,Grass,39,AEGON Championships_2012
Seppi A.,ATP250,AEGON International,2012,0,Grass,26,AEGON International_2012
Petzschner P.,ATP250,Unicef Open,2012,0,Grass,145,Unicef Open_2012
Murray A.,Grand Slam,Wimbledon,2012,0,Grass,4,Wimbledon_2012
Almagro N.,ATP250,SkiStar Swedish Open,2012,0,Clay,10,SkiStar Swedish Open_2012
Hewitt L.,ATP250,Hall of Fame Championships,2012,0,Grass,233,Hall of Fame Championships_2012
Monaco J.,ATP250,Mercedes Cup,2012,0,Clay,14,Mercedes Cup_2012
Granollers M.,ATP250,ATP Vegeta Croatia Open,2012,0,Clay,24,ATP Vegeta Croatia Open_2012
Muller G.,ATP250,BB&T Atlanta Open,2012,0,Hard,63,BB&T Atlanta Open_2012
Tipsarevic J.,ATP250,Crédit Agricole Suisse Open Gstaad,2012,0,Clay,8,Crédit Agricole Suisse Open Gstaad_2012
Haas T.,ATP500,German Open Tennis Championships ,2012,0,Clay,49,German Open Tennis Championships _2012
Kohlschreiber P.,ATP250,Bet-At-Home Cup,2012,0,Clay,23,Bet-At-Home Cup_2012
Berankis R.,ATP250,Farmers Classic,2012,0,Hard,141,Farmers Classic_2012
Haas T.,ATP500,Citi Open,2012,0,Hard,36,Citi Open_2012
Djokovic N.,Masters 1000,Western & Southern Financial Group Masters,2012,0,Hard,2,Western & Southern Financial Group Masters_2012
Berdych T.,ATP250,Winston-Salem Open at Wake Forest University,2012,0,Hard,7,Winston-Salem Open at Wake Forest University_2012
Djokovic N.,Grand Slam,US Open,2012,0,Hard,2,US Open_2012
Seppi A.,ATP250,Open de Moselle,2012,0,Hard,28,Open de Moselle_2012
Fognini F.,ATP250,St. Petersburg Open,2012,0,Hard,53,St. Petersburg Open_2012
Simon G.,ATP250,Thailand Open,2012,0,Hard,19,Thailand Open_2012
Benneteau J.,ATP250,Malaysian Open,2012,0,Hard,34,Malaysian Open_2012
Tsonga J.W.,ATP500,China Open,2012,0,Hard,7,China Open_2012
Raonic M.,ATP500,Rakuten Japan Open Tennis Championships,2012,0,Hard,15,Rakuten Japan Open Tennis Championships_2012
Murray A.,Masters 1000,Shanghai Masters,2012,0,Hard,3,Shanghai Masters_2012
Bellucci T.,ATP250,Kremlin Cup,2012,0,Hard,41,Kremlin Cup_2012
Tsonga J.W.,ATP250,Stockholm Open,2012,0,Hard,7,Stockholm Open_2012
Zemlja G.,ATP250,Erste Bank Open,2012,0,Hard,70,Erste Bank Open_2012
Federer R.,ATP500,Swiss Indoors,2012,0,Hard,1,Swiss Indoors_2012
Dolgopolov O.,ATP500,Valencia Open 500,2012,0,Hard,21,Valencia Open 500_2012
Janowicz J.,Masters 1000,BNP Paribas Masters,2012,0,Hard,69,BNP Paribas Masters_2012
Dimitrov G.,ATP250,Brisbane International,2013,0,Hard,48,Brisbane International_2013
Bautista R.,ATP250,Chennai Open,2013,0,Hard,80,Chennai Open_2013
Davydenko N.,ATP250,Qatar Exxon Mobil Open,2013,0,Hard,44,Qatar Exxon Mobil Open_2013
Kohlschreiber P.,ATP250,Heineken Open,2013,0,Hard,19,Heineken Open_2013
Anderson K.,ATP250,Apia International,2013,0,Hard,36,Apia International_2013
Murray A.,Grand Slam,Australian Open,2013,0,Hard,3,Australian Open_2013
Paire B.,ATP250,Open Sud de France,2013,0,Hard,43,Open Sud de France_2013
Nadal R.,ATP250,VTR Open ,2013,0,Clay,5,VTR Open _2013
Melzer J.,ATP250,PBZ Zagreb Indoors,2013,0,Hard,29,PBZ Zagreb Indoors_2013
Benneteau J.,ATP500,ABN AMRO World Tennis Tournament,2013,0,Hard,39,ABN AMRO World Tennis Tournament_2013
Haas T.,ATP250,SAP Open,2013,0,Hard,22,SAP Open_2013
Nalbandian D.,ATP250,Brasil Open,2013,0,Clay,93,Brasil Open_2013
Wawrinka S.,ATP250,Copa Claro,2013,0,Clay,17,Copa Claro_2013
Berdych T.,ATP250,Open 13,2013,0,Hard,6,Open 13_2013
Lopez F.,ATP500,U.S. National Indoor Tennis Championships,2013,0,Hard,47,U.S. National Indoor Tennis Championships_2013
Ferrer D.,ATP500,Abierto Mexicano,2013,0,Clay,4,Abierto Mexicano_2013
Roger-Vasselin E.,ATP250,International Championships,2013,0,Hard,105,International Championships_2013
Berdych T.,ATP500,Dubai Tennis Championships,2013,0,Hard,6,Dubai Tennis Championships_2013
Del Potro J.M.,Masters 1000,BNP Paribas Open,2013,0,Hard,7,BNP Paribas Open_2013
Ferrer D.,Masters 1000,Sony Ericsson Open,2013,0,Hard,5,Sony Ericsson Open_2013
Anderson K.,ATP250,Grand Prix Hassan II,2013,0,Clay,680,Grand Prix Hassan II_2013
Almagro N.,ATP250,U.S. Men's Clay Court Championships,2013,0,Clay,12,U.S. Men's Clay Court Championships_2013
Nadal R.,Masters 1000,Monte Carlo Masters,2013,0,Clay,5,Monte Carlo Masters_2013
Almagro N.,ATP500,Open Banco Sabadell ,2013,0,Clay,12,Open Banco Sabadell _2013
Garcia-Lopez G.,ATP250,BRD Nastase Tiriac Trophy,2013,0,Clay,87,BRD Nastase Tiriac Trophy_2013
Kohlschreiber P.,ATP250,BMW Open,2013,0,Clay,21,BMW Open_2013
Ferrer D.,ATP250,Portugal Open,2013,0,Clay,4,Portugal Open_2013
Wawrinka S.,Masters 1000,Mutua Madrid Open,2013,0,Clay,15,Mutua Madrid Open_2013
Federer R.,Masters 1000,Internazionali BNL d'Italia,2013,0,Clay,3,Internazionali BNL d'Italia_2013
Nieminen J.,ATP250,Power Horse Cup,2013,0,Clay,42,Power Horse Cup_2013
Monfils G.,ATP250,Open de Nice Côte dAzur,2013,0,Clay,109,Open de Nice Côte dAzur_2013
Ferrer D.,Grand Slam,French Open,2013,0,Clay,5,French Open_2013
Youzhny M.,ATP250,Gerry Weber Open,2013,0,Grass,29,Gerry Weber Open_2013
Cilic M.,ATP250,AEGON Championships,2013,0,Grass,12,AEGON Championships_2013
Simon G.,ATP250,AEGON International,2013,0,Grass,17,AEGON International_2013
Wawrinka S.,ATP250,Topshelf Open,2013,0,Grass,10,Topshelf Open_2013
Djokovic N.,Grand Slam,Wimbledon,2013,0,Grass,1,Wimbledon_2013
Verdasco F.,ATP250,SkiStar Swedish Open,2013,0,Clay,35,SkiStar Swedish Open_2013
Hewitt L.,ATP250,Hall of Fame Championships,2013,0,Grass,64,Hall of Fame Championships_2013
Kohlschreiber P.,ATP250,Mercedes Cup,2013,0,Clay,25,Mercedes Cup_2013
Falla A.,ATP250,Claro Open Colombia,2013,0,Clay,122,Claro Open Colombia_2013
Delbonis F.,ATP500,German Open Tennis Championships ,2013,0,Clay,114,German Open Tennis Championships _2013
Anderson K.,ATP250,BB&T Atlanta Open,2013,0,Hard,21,BB&T Atlanta Open_2013
Haase R.,ATP250,Crédit Agricole Suisse Open Gstaad,2013,0,Clay,57,Crédit Agricole Suisse Open Gstaad_2013
Fognini F.,ATP250,ATP Vegeta Croatia Open,2013,0,Clay,19,ATP Vegeta Croatia Open_2013
Monaco J.,ATP250,Bet-At-Home Cup,2013,0,Clay,31,Bet-At-Home Cup_2013
Isner J.,ATP500,Citi Open,2013,0,Hard,20,Citi Open_2013
Raonic M.,Masters 1000,Rogers Masters,2013,0,Hard,13,Rogers Masters_2013
Isner J.,Masters 1000,Western & Southern Financial Group Masters,2013,0,Hard,22,Western & Southern Financial Group Masters_2013
Monfils G.,ATP250,Winston-Salem Open at Wake Forest University,2013,0,Hard,43,Winston-Salem Open at Wake Forest University_2013
Djokovic N.,Grand Slam,US Open,2013,0,Hard,1,US Open_2013
Tsonga J.W.,ATP250,Open de Moselle,2013,0,Hard,8,Open de Moselle_2013
Garcia-Lopez G.,ATP250,St. Petersburg Open,2013,0,Hard,74,St. Petersburg Open_2013
Berdych T.,ATP250,Thailand Open,2013,0,Hard,6,Thailand Open_2013
Benneteau J.,ATP250,Malaysian Open,2013,0,Hard,33,Malaysian Open_2013
Nadal R.,ATP500,China Open,2012,0,Hard,2,China Open_2012
Raonic M.,ATP500,Rakuten Japan Open Tennis Championships,2012,0,Hard,11,Rakuten Japan Open Tennis Championships_2012
Del Potro J.M.,Masters 1000,Shanghai Masters,2013,0,Hard,5,Shanghai Masters_2013
Kukushkin M.,ATP250,Kremlin Cup,2013,0,Hard,102,Kremlin Cup_2013
Ferrer D.,ATP250,Stockholm Open,2013,0,Hard,3,Stockholm Open_2013
Haase R.,ATP250,Erste Bank Open,2013,0,Hard,63,Erste Bank Open_2013
Federer R.,ATP500,Swiss Indoors,2013,0,Hard,6,Swiss Indoors_2013
Ferrer D.,ATP500,Valencia Open 500,2013,0,Hard,3,Valencia Open 500_2013
Ferrer D.,Masters 1000,BNP Paribas Masters,2013,0,Hard,3,BNP Paribas Masters_2013
Federer R.,ATP250,Brisbane International,2014,0,Hard,6,Brisbane International_2014
Roger-Vasselin E.,ATP250,Chennai Open,2014,0,Hard,52,Chennai Open_2014
Monfils G.,ATP250,Qatar Exxon Mobil Open,2014,0,Hard,31,Qatar Exxon Mobil Open_2014
Lu Y.H.,ATP250,Heineken Open,2014,0,Hard,62,Heineken Open_2014
Tomic B.,ATP250,Apia International,2014,0,Hard,52,Apia International_2014
Nadal R.,Grand Slam,Australian Open,2014,0,Hard,1,Australian Open_2014
Gasquet R.,ATP250,Open Sud de France,2014,0,Hard,9,Open Sud de France_2014
Mayer L.,ATP250,Royal Guard Open Chile ,2014,0,Clay,91,Royal Guard Open Chile _2014
Haas T.,ATP250,PBZ Zagreb Indoors,2014,0,Hard,12,PBZ Zagreb Indoors_2014
Fognini F.,ATP250,Copa Claro,2014,0,Clay,14,Copa Claro_2014
Karlovic I.,ATP250,U.S. National Indoor Tennis Championships,2014,0,Hard,80,U.S. National Indoor Tennis Championships_2014
Cilic M.,ATP500,ABN AMRO World Tennis Tournament,2014,0,Hard,37,ABN AMRO World Tennis Tournament_2014
Anderson K.,ATP250,Delray Beach Open,2014,0,Hard,21,Delray Beach Open_2014
Tsonga J.W.,ATP250,Open 13,2014,0,Hard,10,Open 13_2014
Dolgopolov O.,ATP500,Rio Open,2014,0,Clay,54,Rio Open_2014
Anderson K.,ATP500,Abierto Mexicano,2014,0,Hard,21,Abierto Mexicano_2014
Berdych T.,ATP500,Dubai Tennis Championships,2014,0,Hard,6,Dubai Tennis Championships_2014
Bellucci T.,ATP250,Brasil Open,2014,0,Clay,114,Brasil Open_2014
Federer R.,Masters 1000,BNP Paribas Open,2014,0,Hard,8,BNP Paribas Open_2014
Nadal R.,Masters 1000,Sony Ericsson Open,2014,0,Hard,1,Sony Ericsson Open_2014
Granollers M.,ATP250,Grand Prix Hassan II,2014,0,Clay,36,Grand Prix Hassan II_2014
Almagro N.,ATP250,U.S. Men's Clay Court Championships,2014,0,Clay,20,U.S. Men's Clay Court Championships_2014
Federer R.,Masters 1000,Monte Carlo Masters,2014,0,Clay,4,Monte Carlo Masters_2014
Giraldo S.,ATP500,Open Banco Sabadell ,2014,0,Clay,65,Open Banco Sabadell _2014
Rosol L.,ATP250,BRD Nastase Tiriac Trophy,2014,0,Clay,43,BRD Nastase Tiriac Trophy_2014
