Finalista,Series,Tournament,Year,WRank,Surface,LRank,Tournament_Year
Davydenko N.,Masters 1000,Shanghai Masters,2009,8,Hard,0,Shanghai Masters_2009
Youzhny M.,ATP250,Kremlin Cup,2009,30,Hard,0,Kremlin Cup_2009
Baghdatis M.,ATP250,Stockholm Open,2009,66,Hard,0,Stockholm Open_2009
Ljubicic I.,ATP250,Grand Prix de Lyon,2009,29,Hard,0,Grand Prix de Lyon_2009
Stakhovsky S.,ATP250,St. Petersburg Open,2009,93,Hard,0,St. Petersburg Open_2009
Melzer J.,ATP250,BA-CA Tennis Trophy,2009,35,Hard,0,BA-CA Tennis Trophy_2009
Djokovic N. ,ATP500,Davidoff Swiss Indoors,2009,3,Hard,0,Davidoff Swiss Indoors_2009
Murray A. ,ATP500,Valencia Open 530,2009,4,Hard,0,Valencia Open 530_2009
Djokovic N.,Masters 1000,BNP Paribas Masters,2009,3,Hard,0,BNP Paribas Masters_2009
Roddick A.,ATP250,Brisbane International,2010,7,Hard,0,Brisbane International_2010
Cilic M.,ATP250,Chennai Open,2010,14,Hard,0,Chennai Open_2010
Davydenko N.,ATP250,Qatar Exxon Mobil Open,2010,6,Hard,0,Qatar Exxon Mobil Open_2010
Isner J.,ATP250,Heineken Open,2010,33,Hard,0,Heineken Open_2010
Baghdatis M.,ATP250,Medibank International,2010,42,Hard,0,Medibank International_2010
Federer R.,Grand Slam,Australian Open,2010,1,Hard,0,Australian Open_2010
Lopez F.,ATP250,SA Tennis Open,2010,39,Hard,0,SA Tennis Open_2010
Bellucci T.,ATP250,Movistar Open,2010,35,Clay,0,Movistar Open_2010
Cilic M.,ATP250,PBZ Zagreb Indoors,2010,10,Hard,0,PBZ Zagreb Indoors_2010
Ferrero J.C.,ATP250,Brasil Open,2010,22,Clay,0,Brasil Open_2010
Soderling R.,ATP500,ABN AMRO World Tennis Tournament,2010,8,Hard,0,ABN AMRO World Tennis Tournament_2010
Verdasco F.,ATP250,SAP Open,2010,11,Hard,0,SAP Open_2010
Ferrero J.C.,ATP250,Copa Telmex,2010,22,Clay,0,Copa Telmex_2010
Llodra M.,ATP250,Open 13,2010,79,Hard,0,Open 13_2010
Querrey S.,ATP500,Regions Morgan Keegan Championships,2010,31,Hard,0,Regions Morgan Keegan Championships_2010
Ferrer D.,ATP500,Abierto Mexicano,2010,17,Clay,0,Abierto Mexicano_2010
Gulbis E.,ATP250,International Championships,2010,72,Hard,0,International Championships_2010
Djokovic N.,ATP500,Dubai Tennis Championships,2010,2,Hard,0,Dubai Tennis Championships_2010
Ljubicic I.,Masters 1000,BNP Paribas Open,2010,26,Hard,0,BNP Paribas Open_2010
Roddick A.,Masters 1000,Sony Ericsson Open,2010,8,Hard,0,Sony Ericsson Open_2010
Wawrinka S.,ATP250,Grand Prix Hassan II,2010,23,Clay,0,Grand Prix Hassan II_2010
Chela J.I.,ATP250,U.S. Men's Clay Court Championships,2010,82,Clay,0,U.S. Men's Clay Court Championships_2010
Nadal R.,Masters 1000,Monte Carlo Masters,2010,3,Clay,0,Monte Carlo Masters_2010
Verdasco F.,ATP500,Open Banco Sabadell ,2010,9,Clay,0,Open Banco Sabadell _2010
Nadal R.,Masters 1000,Internazionali BNL d'Italia,2010,3,Clay,0,Internazionali BNL d'Italia_2010
Querrey S.,ATP250,Serbia Open,2010,22,Clay,0,Serbia Open_2010
Montanes A.,ATP250,Estoril Open,2010,34,Clay,0,Estoril Open_2010
Youzhny M.,ATP250,BMW Open,2010,15,Clay,0,BMW Open_2010
Nadal R.,Masters 1000,Mutua Madrileña Madrid Open,2010,3,Clay,0,Mutua Madrileña Madrid Open_2010
Gasquet R.,ATP250,Open de Nice Côte dAzur,2010,68,Clay,0,Open de Nice Côte dAzur_2010
Nadal R.,Grand Slam,French Open,2010,2,Clay,0,French Open_2010
Hewitt L.,ATP250,Gerry Weber Open,2010,32,Grass,0,Gerry Weber Open_2010
Querrey S.,ATP250,AEGON Championships,2010,23,Grass,0,AEGON Championships_2010
Llodra M.,ATP250,AEGON International,2010,46,Grass,0,AEGON International_2010
Stakhovsky S.,ATP250,Unicef Open,2010,71,Grass,0,Unicef Open_2010
Nadal R.,Grand Slam,Wimbledon,2010,1,Grass,0,Wimbledon_2010
Fish M.,ATP250,Hall of Fame Championships,2010,79,Grass,0,Hall of Fame Championships_2010
